"filename", "language", "XML", "Markdown", "Java", "Properties", "comment", "blank", "total"
"e:\Project-keyboard\KeyboardFX\README.md", "Markdown", 0, 8, 0, 0, 0, 7, 15
"e:\Project-keyboard\KeyboardFX\javafx-sdk-15.0.1\legal\javafx.graphics\jpeg_fx.md", "Markdown", 0, 42, 0, 0, 0, 10, 52
"e:\Project-keyboard\KeyboardFX\javafx-sdk-15.0.1\legal\javafx.graphics\mesa3d.md", "Markdown", 0, 99, 0, 0, 0, 36, 135
"e:\Project-keyboard\KeyboardFX\javafx-sdk-15.0.1\legal\javafx.media\directshow.md", "Markdown", 0, 20, 0, 0, 0, 7, 27
"e:\Project-keyboard\KeyboardFX\javafx-sdk-15.0.1\legal\javafx.media\glib.md", "Markdown", 0, 441, 0, 0, 0, 97, 538
"e:\Project-keyboard\KeyboardFX\javafx-sdk-15.0.1\legal\javafx.media\gstreamer.md", "Markdown", 0, 441, 0, 0, 0, 95, 536
"e:\Project-keyboard\KeyboardFX\javafx-sdk-15.0.1\legal\javafx.media\libffi.md", "Markdown", 0, 22, 0, 0, 0, 7, 29
"e:\Project-keyboard\KeyboardFX\javafx-sdk-15.0.1\legal\javafx.web\icu_web.md", "Markdown", 0, 391, 0, 0, 0, 31, 422
"e:\Project-keyboard\KeyboardFX\javafx-sdk-15.0.1\legal\javafx.web\libxml2.md", "Markdown", 0, 23, 0, 0, 0, 8, 31
"e:\Project-keyboard\KeyboardFX\javafx-sdk-15.0.1\legal\javafx.web\libxslt.md", "Markdown", 0, 47, 0, 0, 0, 14, 61
"e:\Project-keyboard\KeyboardFX\javafx-sdk-15.0.1\legal\javafx.web\webkit.md", "Markdown", 0, 441, 0, 0, 0, 95, 536
"e:\Project-keyboard\KeyboardFX\javafx-sdk-15.0.1\lib\javafx.properties", "Properties", 0, 0, 0, 3, 0, 1, 4
"e:\Project-keyboard\KeyboardFX\src\app\App.java", "Java", 0, 0, 38, 0, 0, 6, 44
"e:\Project-keyboard\KeyboardFX\src\app\CurrentStatus.java", "Java", 0, 0, 320, 0, 0, 37, 357
"e:\Project-keyboard\KeyboardFX\src\app\Mainframe.fxml", "XML", 15, 0, 0, 0, 0, 3, 18
"e:\Project-keyboard\KeyboardFX\src\app\Mainframe.java", "Java", 0, 0, 162, 0, 0, 29, 191
"e:\Project-keyboard\KeyboardFX\src\app\SoundPlayer.java", "Java", 0, 0, 88, 0, 1, 16, 105
"Total", "-", 15, 1975, 608, 3, 1, 499, 3101
